attention_type,seq_len,seed,steps,batch_size,parameters,train_loss,val_loss,val_perplexity,total_seconds,tokens_per_second,device
reference,128,1,100,8,4243200,2.177097797393799,2.110752618312836,8.25445139869581,2.130359125,48067.0131145142,mps
sdpa,128,1,100,8,4243200,2.177098035812378,2.110752749443054,8.254452481103895,2.0374432909999998,50259.06755409175,mps
chunked,128,1,100,8,4243200,2.177097797393799,2.1107526063919066,8.25445130029508,2.0092240840000004,50964.947521503025,mps
reference,256,1,100,8,4275968,2.1729867458343506,2.210624575614929,9.121411625578553,3.676973375,55697.98285526068,mps
sdpa,256,1,100,8,4275968,2.1729867458343506,2.210624611377716,9.121411951785658,3.7742869580000002,54261.90490521786,mps
chunked,256,1,100,8,4275968,2.1729867458343506,2.210624599456787,9.121411843049954,3.926048958,52164.402989087735,mps
reference,512,1,100,8,4341504,2.182081699371338,2.237572193145752,9.370553754272514,8.53807325,47973.3527701932,mps
sdpa,512,1,100,8,4341504,2.182081699371338,2.237572193145752,9.370553754272514,8.720251332999998,46971.123234711486,mps
chunked,512,1,100,8,4341504,2.182081699371338,2.237572193145752,9.370553754272514,9.189267,44573.740212358614,mps
reference,128,2,100,8,4243200,2.206205368041992,2.1983916640281675,9.010509912023807,1.9979666249999999,51252.10737691877,mps
sdpa,128,2,100,8,4243200,2.206205368041992,2.1983916401863097,9.010509697196513,2.018889083,50720.963752915595,mps
chunked,128,2,100,8,4243200,2.206205368041992,2.1983916640281675,9.010509912023807,1.9900786670000001,51455.252346564645,mps
reference,256,2,100,8,4275968,2.157167911529541,2.2112942218780516,9.127521790384206,3.7195023339999995,55061.129583902024,mps
sdpa,256,2,100,8,4275968,2.157167911529541,2.211294150352478,9.127521137533,4.091938000000001,50049.63418311811,mps
chunked,256,2,100,8,4275968,2.157167911529541,2.211294209957123,9.12752168157567,3.8811189159999997,52768.28781403925,mps
reference,512,2,100,8,4341504,2.2064104080200195,2.2466972947120665,9.456452329579244,8.519082583,48080.29456333303,mps
sdpa,512,2,100,8,4341504,2.2064104080200195,2.2466973304748534,9.45645266776834,8.751075875,46805.67347954802,mps
chunked,512,2,100,8,4341504,2.2064104080200195,2.2466973066329956,9.456452442308942,9.598407750000002,42673.744507259544,mps
reference,128,3,100,8,4243200,2.163038492202759,2.273975598812103,9.717958823253548,2.027437125,50507.11498636487,mps
sdpa,128,3,100,8,4243200,2.163038492202759,2.2739756107330322,9.717958939100647,2.046881292,50027.32713431825,mps
chunked,128,3,100,8,4243200,2.163038730621338,2.2739756226539614,9.717959054947748,2.075321375,49341.755563039,mps
reference,256,3,100,8,4275968,2.180375099182129,2.1063685536384584,8.218342559489995,3.8910952909999996,52632.99525809532,mps
sdpa,256,3,100,8,4275968,2.180375099182129,2.106368589401245,8.218342853400832,3.8406609159999996,53324.155524069705,mps
chunked,256,3,100,8,4275968,2.180375099182129,2.1063685774803163,8.218342755430553,3.9495581669999997,51853.901459454064,mps
reference,512,3,100,8,4341504,2.1766300201416016,2.2316771030426024,9.315475999244443,8.544246208,47938.69348199382,mps
sdpa,512,3,100,8,4341504,2.1766300201416016,2.2316771268844606,9.315476221342704,8.774736333,46679.465280293116,mps
chunked,512,3,100,8,4341504,2.1766300201416016,2.231677067279816,9.31547566609707,9.338752083,43860.24988773653,mps
